#{"t_start": 1721873244.311344, "env_id": "Acrobot-v1"}
r,l,t
-93.0,94,91.835865
-91.0,92,91.876787
-99.0,100,91.923955
-92.0,93,91.964752
-98.0,99,92.008785
-88.0,89,92.048316
-90.0,91,92.087599
-94.0,95,92.130411
-81.0,82,92.164636
-93.0,94,92.205618
-112.0,113,92.258311
-104.0,105,92.302924
-259.0,260,92.417368
-101.0,102,92.469729
-115.0,116,92.521496
-122.0,123,92.575596
-122.0,123,92.631151
-85.0,86,92.672275
-92.0,93,92.715483
-95.0,96,92.757681
-89.0,90,92.794748
-109.0,110,92.838549
-126.0,127,92.895011
-110.0,111,92.94259
-107.0,108,92.98573
-264.0,265,93.092392
-96.0,97,93.131097
-110.0,111,93.175221
-95.0,96,93.210165
-96.0,97,93.24514
-84.0,85,93.281081
-90.0,91,93.315346
-115.0,116,93.358167
-124.0,125,93.40403
-111.0,112,93.447892
-97.0,98,93.487404
-91.0,92,93.52247
-92.0,93,93.555783
-94.0,95,93.593663
-80.0,81,93.632122
-74.0,75,93.661673
-138.0,139,93.716847
-219.0,220,93.810178
-132.0,133,93.863949
-83.0,84,93.900738
-101.0,102,93.940964
-140.0,141,94.008962
-75.0,76,94.045034
-112.0,113,94.102185
-92.0,93,94.145796
-237.0,238,94.260571
-124.0,125,94.319791
-127.0,128,94.380259
-97.0,98,94.423818
-113.0,114,94.478472
-120.0,121,94.531881
-199.0,200,94.625244
-102.0,103,94.674293
-63.0,64,94.705435
-122.0,123,94.761455
-103.0,104,94.813023
-100.0,101,94.861846
-91.0,92,94.910247
-104.0,105,94.961375
-80.0,81,95.001036
-132.0,133,95.061137
-81.0,82,95.104228
-84.0,85,95.144337
-81.0,82,95.185434
-86.0,87,95.225773
-94.0,95,95.276161
-100.0,101,95.324137
-95.0,96,95.368105
-94.0,95,95.412045
-96.0,97,95.460809
-99.0,100,95.509048
-127.0,128,95.568969
-112.0,113,95.623527
-116.0,117,95.678718
-88.0,89,95.720891
-62.0,63,95.750841
-94.0,95,95.795504
-81.0,82,95.834887
-76.0,77,95.869715
-93.0,94,95.917969
-114.0,115,95.971347
-89.0,90,96.018826
-89.0,90,96.060429
-101.0,102,96.109277
-82.0,83,96.147585
-109.0,110,96.198886
-140.0,141,96.26319
-95.0,96,96.308776
-97.0,98,96.354003
-124.0,125,96.413937
-95.0,96,96.459214
-95.0,96,96.503834
-130.0,131,96.563879
-90.0,91,96.608966
-86.0,87,96.652902
-141.0,142,96.720599
-117.0,118,96.775422
-89.0,90,96.820821
-105.0,106,96.871091
-108.0,109,96.924043
-93.0,94,96.966829
-97.0,98,97.013761
-105.0,106,97.062252
-76.0,77,97.098652
-109.0,110,97.150957
-101.0,102,97.202193
-97.0,98,97.247113
-62.0,63,97.276884
-115.0,116,97.337249
-125.0,126,97.402164
-191.0,192,97.47961
-102.0,103,97.522721
-107.0,108,97.568929
-81.0,82,97.604356
-89.0,90,97.638659
-81.0,82,97.670886
-63.0,64,97.696488
-84.0,85,97.730606
-69.0,70,97.757366
-354.0,355,97.901398
-109.0,110,97.948441
-67.0,68,97.976107
-106.0,107,98.018375
-71.0,72,98.047281
-91.0,92,98.083777
-89.0,90,98.122091
-69.0,70,98.149495
-70.0,71,98.177815
-73.0,74,98.208497
-99.0,100,98.249209
-74.0,75,98.277517
-107.0,108,98.322125
-96.0,97,98.365051
-99.0,100,98.407119
-90.0,91,98.441602
-74.0,75,98.471984
-73.0,74,98.505718
-88.0,89,98.542069
-94.0,95,98.579685
-85.0,86,98.613557
-83.0,84,98.645814
-97.0,98,98.685536
-96.0,97,98.72237
-77.0,78,98.751667
-82.0,83,98.784305
-108.0,109,98.829039
-83.0,84,98.860662
-86.0,87,98.892124
-69.0,70,98.919064
-107.0,108,98.960399
-100.0,101,98.997059
-94.0,95,99.032987
-87.0,88,99.067998
-135.0,136,99.134158
-83.0,84,99.171406
-98.0,99,99.212914
-67.0,68,99.242475
-63.0,64,99.271278
-103.0,104,99.318121
-162.0,163,99.381594
-89.0,90,99.416574
-104.0,105,99.457103
-71.0,72,99.484714
-103.0,104,99.52538
-87.0,88,99.558521
-94.0,95,99.597018
-85.0,86,99.629678
-81.0,82,99.661609
-89.0,90,99.697693
-100.0,101,99.740199
-103.0,104,99.781164
-76.0,77,99.810824
-84.0,85,99.845721
-80.0,81,99.876965
-90.0,91,99.913289
-84.0,85,99.948185
-79.0,80,99.983636
-93.0,94,100.023388
-94.0,95,100.05991
-118.0,119,100.106551
-96.0,97,100.145282
-103.0,104,100.187263
-79.0,80,100.218882
-75.0,76,100.249871
-110.0,111,100.291497
-71.0,72,100.319299
-70.0,71,100.347234
-88.0,89,100.379615
-74.0,75,100.407396
-100.0,101,100.446721
-126.0,127,100.494962
-66.0,67,100.519593
-123.0,124,100.566726
-70.0,71,100.595084
-84.0,85,100.627156
-80.0,81,100.659463
-82.0,83,100.68949
-76.0,77,100.718553
-90.0,91,100.755999
-110.0,111,100.795193
-93.0,94,100.828782
-79.0,80,100.85968
-76.0,77,100.888988
-88.0,89,100.920777
-103.0,104,100.959411
-114.0,115,101.003144
-92.0,93,101.036885
-83.0,84,101.066959
-86.0,87,101.099977
-84.0,85,101.135777
-106.0,107,101.176183
-88.0,89,101.210358
-88.0,89,101.249244
-82.0,83,101.286242
-90.0,91,101.321547
-107.0,108,101.365784
-99.0,100,101.403321
-63.0,64,101.4284
-86.0,87,101.462142
-93.0,94,101.507522
-82.0,83,101.545634
-76.0,77,101.580473
-106.0,107,101.626127
-80.0,81,101.659695
-83.0,84,101.696221
-240.0,241,101.795498
-100.0,101,101.834249
-79.0,80,101.86603
-92.0,93,101.90204
-86.0,87,101.937706
-71.0,72,101.968027
-79.0,80,101.998655
-77.0,78,102.029
-93.0,94,102.069571
-95.0,96,102.105904
-91.0,92,102.141017
-92.0,93,102.17888
-101.0,102,102.224339
-77.0,78,102.256917
-111.0,112,102.301683
-92.0,93,102.338183
-69.0,70,102.368541
-97.0,98,102.409077
-101.0,102,102.453014
-72.0,73,102.482429
-83.0,84,102.516221
-100.0,101,102.556416
-100.0,101,102.59801
-90.0,91,102.632108
-90.0,91,102.671555
-94.0,95,102.717902
-91.0,92,102.760036
-75.0,76,102.793256
-96.0,97,102.831783
-104.0,105,102.874344
-82.0,83,102.90946
-82.0,83,102.942275
-100.0,101,102.990068
-71.0,72,103.020952
-93.0,94,103.061436
-80.0,81,103.095822
-91.0,92,103.133184
-82.0,83,103.166733
-87.0,88,103.202899
-76.0,77,103.234032
-100.0,101,103.277442
-117.0,118,103.3249
-87.0,88,103.359515
-77.0,78,103.39222
-93.0,94,103.431061
-88.0,89,103.466794
-96.0,97,103.503805
-83.0,84,103.536897
-70.0,71,103.568169
-83.0,84,103.602931
-70.0,71,103.633178
-88.0,89,103.670228
-99.0,100,103.710343
-107.0,108,103.752377
-100.0,101,103.794289
-75.0,76,103.825521
-89.0,90,103.861149
-76.0,77,103.890752
-74.0,75,103.918896
-92.0,93,103.955524
-87.0,88,103.991787
-73.0,74,104.020326
-103.0,104,104.059931
-223.0,224,104.143473
-87.0,88,104.178314
-75.0,76,104.206799
-85.0,86,104.238137
-84.0,85,104.271115
-102.0,103,104.312091
-82.0,83,104.347629
-92.0,93,104.387252
-96.0,97,104.424858
-82.0,83,104.460073
-87.0,88,104.495596
-74.0,75,104.526543
-84.0,85,104.55993
-76.0,77,104.593315
-95.0,96,104.631738
-79.0,80,104.666769
-90.0,91,104.707048
-76.0,77,104.743454
-71.0,72,104.771341
-98.0,99,104.812643
-102.0,103,104.85123
-77.0,78,104.88277
-73.0,74,104.91025
-75.0,76,104.939887
-244.0,245,105.046283
-81.0,82,105.081169
-129.0,130,105.129004
-92.0,93,105.169437
-71.0,72,105.201977
-64.0,65,105.230859
-97.0,98,105.272963
-64.0,65,105.300531
-63.0,64,105.328897
-89.0,90,105.368633
-62.0,63,105.393736
-98.0,99,105.431373
-79.0,80,105.461553
-75.0,76,105.496465
-64.0,65,105.522037
-72.0,73,105.552752
-70.0,71,105.580517
-102.0,103,105.626298
-89.0,90,105.66932
-64.0,65,105.697077
-100.0,101,105.736558
-81.0,82,105.774183
-71.0,72,105.806793
-62.0,63,105.833026
-138.0,139,105.893516
-93.0,94,105.93585
-79.0,80,105.970479
-80.0,81,106.005815
-70.0,71,106.037524
-500.0,500,106.239952
-95.0,96,106.277736
-63.0,64,106.303567
-86.0,87,106.335723
-76.0,77,106.366436
-75.0,76,106.397771
-83.0,84,106.430466
-77.0,78,106.462341
-94.0,95,106.505856
-82.0,83,106.539282
-103.0,104,106.575699
-84.0,85,106.607115
-80.0,81,106.637871
-91.0,92,106.674309
-79.0,80,106.707778
-99.0,100,106.746142
-62.0,63,106.771061
-111.0,112,106.817408
-78.0,79,106.851067
-75.0,76,106.883494
-81.0,82,106.917703
-71.0,72,106.945687
-78.0,79,106.977002
-89.0,90,107.016244
-104.0,105,107.062514
-89.0,90,107.100447
-143.0,144,107.16135
-82.0,83,107.195604
-79.0,80,107.231464
-175.0,176,107.305117
-79.0,80,107.337597
-95.0,96,107.376635
-91.0,92,107.419369
-70.0,71,107.448165
-72.0,73,107.478061
-457.0,458,107.668444
-97.0,98,107.709883
-89.0,90,107.747596
-92.0,93,107.785754
-81.0,82,107.819681
-87.0,88,107.855275
-86.0,87,107.889823
-84.0,85,107.926329
-94.0,95,107.966704
-92.0,93,108.005381
-81.0,82,108.038775
-84.0,85,108.072276
-74.0,75,108.102263
-83.0,84,108.138385
-74.0,75,108.167923
-90.0,91,108.207957
-86.0,87,108.244332
-102.0,103,108.286627
-73.0,74,108.315088
-76.0,77,108.34788
-120.0,121,108.400625
-114.0,115,108.454333
-94.0,95,108.495048
-101.0,102,108.539045
-97.0,98,108.580372
-82.0,83,108.617265
-96.0,97,108.658548
-94.0,95,108.699352
-76.0,77,108.733135
-107.0,108,108.782831
-90.0,91,108.825737
-102.0,103,108.871924
-71.0,72,108.904098
-77.0,78,108.941194
-84.0,85,108.978879
-91.0,92,109.016775
-63.0,64,109.041401
-107.0,108,109.085319
-100.0,101,109.125329
-83.0,84,109.157177
-100.0,101,109.19946
-88.0,89,109.237519
-80.0,81,109.268399
-92.0,93,109.304966
-84.0,85,109.338093
-95.0,96,109.375504
-63.0,64,109.399292
-69.0,70,109.424411
-98.0,99,109.463083
-69.0,70,109.491436
-90.0,91,109.525884
-98.0,99,109.564698
-107.0,108,109.605691
-91.0,92,109.643751
-70.0,71,109.671134
-79.0,80,109.701379
-78.0,79,109.730797
-85.0,86,109.766183
-82.0,83,109.798816
-67.0,68,109.82537
-90.0,91,109.86249
-61.0,62,109.888019
-108.0,109,109.929084
-81.0,82,109.962305
-89.0,90,109.996844
-82.0,83,110.032816
-174.0,175,110.100161
-77.0,78,110.128799
-74.0,75,110.157411
-91.0,92,110.19326
-76.0,77,110.221469
-74.0,75,110.250977
-78.0,79,110.281089
-90.0,91,110.316936
-77.0,78,110.347275
-93.0,94,110.38288
-89.0,90,110.416545
-82.0,83,110.450667
-83.0,84,110.483299
-76.0,77,110.511772
-500.0,500,110.704079
-62.0,63,110.72963
-76.0,77,110.761762
-100.0,101,110.801393
-87.0,88,110.834264
-87.0,88,110.874114
-130.0,131,110.929221
-78.0,79,110.96361
-125.0,126,111.016219
-78.0,79,111.052445
-83.0,84,111.086852
-99.0,100,111.125882
-88.0,89,111.162369
-62.0,63,111.190809
-79.0,80,111.226007
-105.0,106,111.274244
-82.0,83,111.306036
-91.0,92,111.34374
-67.0,68,111.372656
-79.0,80,111.405826
-93.0,94,111.443138
-90.0,91,111.482968
-62.0,63,111.507026
-76.0,77,111.540906
-77.0,78,111.573246
-72.0,73,111.603784
-83.0,84,111.636476
-96.0,97,111.67522
-98.0,99,111.716223
-105.0,106,111.761671
-76.0,77,111.793417
-99.0,100,111.83223
-83.0,84,111.868562
-71.0,72,111.901226
-99.0,100,111.94113
-102.0,103,111.984585
-90.0,91,112.022578
-85.0,86,112.060296
-94.0,95,112.100827
-92.0,93,112.139142
-69.0,70,112.167474
-85.0,86,112.201591
-74.0,75,112.233337
-72.0,73,112.261806
-71.0,72,112.292495
-80.0,81,112.327939
-75.0,76,112.357978
-103.0,104,112.399457
-87.0,88,112.434362
-71.0,72,112.46464
-85.0,86,112.49923
-119.0,120,112.54909
-87.0,88,112.584717
-181.0,182,112.664873
-84.0,85,112.701645
-63.0,64,112.727364
-92.0,93,112.764369
-74.0,75,112.798124
-104.0,105,112.840266
-74.0,75,112.871053
-70.0,71,112.897937
-111.0,112,112.942578
-84.0,85,112.976135
-91.0,92,113.009929
-98.0,99,113.045829
-74.0,75,113.077002
-94.0,95,113.112192
-98.0,99,113.148892
-82.0,83,113.179617
-78.0,79,113.212671
-91.0,92,113.24892
-75.0,76,113.279195
-98.0,99,113.316894
-80.0,81,113.347967
-93.0,94,113.383961
-127.0,128,113.434589
-106.0,107,113.473431
-90.0,91,113.511199
-117.0,118,113.556678
-81.0,82,113.587606
-83.0,84,113.619498
-131.0,132,113.670876
-90.0,91,113.708739
-98.0,99,113.745327
-70.0,71,113.770369
-82.0,83,113.804873
-105.0,106,113.84481
-107.0,108,113.885778
-84.0,85,113.919996
-81.0,82,113.95384
-109.0,110,113.998281
-83.0,84,114.032258
-96.0,97,114.070926
-87.0,88,114.110414
-123.0,124,114.157139
-74.0,75,114.188277
-88.0,89,114.22308
-89.0,90,114.257496
-88.0,89,114.290434
-89.0,90,114.32384
-63.0,64,114.34729
-93.0,94,114.384611
-63.0,64,114.410349
-114.0,115,114.452108
-106.0,107,114.49284
-87.0,88,114.529521
-111.0,112,114.571476
-72.0,73,114.602174
-120.0,121,114.64993
-103.0,104,114.691103
-78.0,79,114.722769
-95.0,96,114.75785
-90.0,91,114.791311
-70.0,71,114.821739
-84.0,85,114.853404
-103.0,104,114.890529
-65.0,66,114.916255
-217.0,218,114.998737
-79.0,80,115.028937
-95.0,96,115.063873
-85.0,86,115.095133
-92.0,93,115.132658
-142.0,143,115.184376
-77.0,78,115.213942
-91.0,92,115.247828
-76.0,77,115.278493
-88.0,89,115.311396
-73.0,74,115.338329
-90.0,91,115.3714
-87.0,88,115.406812
-90.0,91,115.441356
-91.0,92,115.475322
-83.0,84,115.507135
-92.0,93,115.543924
-63.0,64,115.569876
-103.0,104,115.613314
-82.0,83,115.645263
-75.0,76,115.675092
-80.0,81,115.708289
-70.0,71,115.740416
-75.0,76,115.775743
-93.0,94,115.822196
-114.0,115,115.875637
-89.0,90,115.915091
-78.0,79,115.947906
-89.0,90,115.98797
-88.0,89,116.030082
-81.0,82,116.062625
-64.0,65,116.090685
-92.0,93,116.133655
-62.0,63,116.159532
-83.0,84,116.195786
-83.0,84,116.232443
-76.0,77,116.264723
-81.0,82,116.301077
-80.0,81,116.338533
-89.0,90,116.375581
-193.0,194,116.469261
-86.0,87,116.506799
-83.0,84,116.543659
-81.0,82,116.577542
-92.0,93,116.61851
-95.0,96,116.655792
-81.0,82,116.688388
-97.0,98,116.731458
-91.0,92,116.772387
-94.0,95,116.812307
-96.0,97,116.854678
-92.0,93,116.890196
-96.0,97,116.934062
-93.0,94,116.969432
-110.0,111,117.01423
-125.0,126,117.067976
-91.0,92,117.109746
-93.0,94,117.151356
-70.0,71,117.182754
-103.0,104,117.22322
-93.0,94,117.261043
-279.0,280,117.366973
-99.0,100,117.405175
-84.0,85,117.439654
-97.0,98,117.477964
-76.0,77,117.509037
-71.0,72,117.541727
-70.0,71,117.573464
-88.0,89,117.61182
-94.0,95,117.652598
-95.0,96,117.6944
-78.0,79,117.726823
-110.0,111,117.774613
-101.0,102,117.813159
-99.0,100,117.852871
-80.0,81,117.883317
-74.0,75,117.914724
-63.0,64,117.942571
-98.0,99,117.978908
-117.0,118,118.024477
-108.0,109,118.072995
-88.0,89,118.110123
-92.0,93,118.147178
-74.0,75,118.174334
-77.0,78,118.205541
-99.0,100,118.246753
-63.0,64,118.271536
-94.0,95,118.307205
-83.0,84,118.341972
-89.0,90,118.377073
-99.0,100,118.41871
-90.0,91,118.455449
