#{"t_start": 1721873244.311344, "env_id": "Acrobot-v1"}
r,l,t
-208.0,209,32.533104
-176.0,177,32.600474
-474.0,475,32.768574
-274.0,275,32.866401
-276.0,277,32.96509
-266.0,267,33.065651
-118.0,119,33.110524
-193.0,194,33.183627
-268.0,269,33.286974
-294.0,295,33.392183
-121.0,122,33.436427
-175.0,176,33.499415
-188.0,189,33.567498
-124.0,125,33.61437
-137.0,138,33.663079
-237.0,238,33.746899
-138.0,139,33.798647
-181.0,182,33.868759
-223.0,224,33.950035
-225.0,226,34.03555
-252.0,253,34.130681
-164.0,165,34.201397
-267.0,268,34.313668
-196.0,197,34.393753
-154.0,155,34.457197
-252.0,253,34.551303
-128.0,129,34.596892
-235.0,236,34.679138
-322.0,323,34.798711
-205.0,206,34.881017
-199.0,200,34.961162
-238.0,239,35.058523
-146.0,147,35.119617
-173.0,174,35.192111
-166.0,167,35.260384
-150.0,151,35.321488
-363.0,364,35.470725
-223.0,224,35.556392
-93.0,94,35.588578
-336.0,337,35.711958
-179.0,180,35.779598
-276.0,277,35.891678
-228.0,229,35.985757
-223.0,224,36.073915
-135.0,136,36.125542
-245.0,246,36.227659
-286.0,287,36.343858
-214.0,215,36.426218
-179.0,180,36.49329
-206.0,207,36.573387
-138.0,139,36.627508
-262.0,263,36.727343
-332.0,333,36.848656
-248.0,249,36.938431
-299.0,300,37.046815
-178.0,179,37.113704
-135.0,136,37.167539
-206.0,207,37.24473
-157.0,158,37.30589
-184.0,185,37.375382
-146.0,147,37.430765
-240.0,241,37.520279
-253.0,254,37.619728
-281.0,282,37.729578
-204.0,205,37.807449
-264.0,265,37.915211
-198.0,199,37.988256
-190.0,191,38.061272
-181.0,182,38.132659
-340.0,341,38.256088
-317.0,318,38.367729
-195.0,196,38.442091
-308.0,309,38.55669
-180.0,181,38.620895
-208.0,209,38.698317
-401.0,402,38.840874
-293.0,294,38.944019
-227.0,228,39.029077
-248.0,249,39.12903
-265.0,266,39.224894
-324.0,325,39.346062
-178.0,179,39.413504
-151.0,152,39.467066
-251.0,252,39.563102
-252.0,253,39.657249
-186.0,187,39.725323
-228.0,229,39.807836
-201.0,202,39.881318
-312.0,313,39.994706
-173.0,174,40.061475
-167.0,168,40.128302
-311.0,312,40.244664
-223.0,224,40.328269
-212.0,213,40.409459
-324.0,325,40.528325
-443.0,444,40.698651
-341.0,342,40.824962
-241.0,242,40.919803
-216.0,217,40.998083
-329.0,330,41.115519
-154.0,155,41.171523
-344.0,345,41.295443
-172.0,173,41.357095
-263.0,264,41.451358
-143.0,144,41.502372
-244.0,245,41.598669
-283.0,284,41.701339
-154.0,155,41.754608
-139.0,140,41.805363
-408.0,409,41.95492
-218.0,219,42.031418
-258.0,259,42.121604
-225.0,226,42.200376
-331.0,332,42.318173
-292.0,293,42.420502
-159.0,160,42.477848
-197.0,198,42.546531
-223.0,224,42.627013
-178.0,179,42.690564
-190.0,191,42.758911
-130.0,131,42.80637
-90.0,91,42.840514
-269.0,270,42.935453
-330.0,331,43.058147
-230.0,231,43.14113
-333.0,334,43.260725
-241.0,242,43.346583
-300.0,301,43.452633
-194.0,195,43.522144
-343.0,344,43.649132
-243.0,244,43.740785
-219.0,220,43.822911
-152.0,153,43.878572
-225.0,226,43.965823
-136.0,137,44.017122
-293.0,294,44.130097
-296.0,297,44.239844
-256.0,257,44.336581
-201.0,202,44.411399
-154.0,155,44.467591
-171.0,172,44.529927
-259.0,260,44.64094
-161.0,162,44.706177
-296.0,297,44.821334
-175.0,176,44.891017
-261.0,262,44.995578
-160.0,161,45.058487
-302.0,303,45.168657
-276.0,277,45.282409
-266.0,267,45.391873
-102.0,103,45.43763
-209.0,210,45.52588
-246.0,247,45.6246
-217.0,218,45.708358
-212.0,213,45.789853
-190.0,191,45.867543
-377.0,378,46.008947
-415.0,416,46.196655
-242.0,243,46.296654
-276.0,277,46.403458
-254.0,255,46.499464
-138.0,139,46.5538
-107.0,108,46.595292
-115.0,116,46.639872
-168.0,169,46.70321
-338.0,339,46.830204
-129.0,130,46.876734
-151.0,152,46.932039
-156.0,157,46.994853
-99.0,100,47.036897
-178.0,179,47.104324
-322.0,323,47.238174
-213.0,214,47.316935
-227.0,228,47.402625
-182.0,183,47.467127
-207.0,208,47.544548
-129.0,130,47.595294
-151.0,152,47.658447
-237.0,238,47.745836
-175.0,176,47.810183
-397.0,398,47.959673
-218.0,219,48.049063
-500.0,500,48.236344
-158.0,159,48.295637
-132.0,133,48.347802
-289.0,290,48.452135
-203.0,204,48.522548
-167.0,168,48.582832
-139.0,140,48.633275
-185.0,186,48.701408
-228.0,229,48.784114
-256.0,257,48.877025
-96.0,97,48.914212
-354.0,355,49.067142
-104.0,105,49.105967
-109.0,110,49.149667
-174.0,175,49.219223
-188.0,189,49.2971
-123.0,124,49.344269
-188.0,189,49.413159
-102.0,103,49.458864
